topicTitle,blockType,blockName,fileName
Программа: The Seven Magic Skills of User Centricity Module 4: Constant Curiosity E-Learning,scorm,The Seven Magic Skills of User Centricity Module 4: Constant Curiosity,18NOV_USMS_CC_EN_V1.zip
Программа: The Seven Magic Skills of User Centricity Module 5: Bold Thinking E-Learning,scorm,The Seven Magic Skills of User Centricity Module 5: Bold Thinking,18NOV_USMS_BT_EN_V1.zip
Программа: The Seven Magic Skills of User Centricity Module 6: Brave Doing  E-Learning,scorm,The Seven Magic Skills of User Centricity Module 6: Brave Doing,18NOV_IT_USMS_BD_EN_V1.zip
Программа: The Seven Magic Skills of User Centricity Module 7: Close Collaboration E-Learning,scorm,The Seven Magic Skills of User Centricity Module 7: Close Collaboration,18NOV_USMS_COC_EN_V1.zip
Программа: Foreign Materials Management Module 1: Introduction E-Learning,scorm,Foreign Materials Management Module 1: Introduction,21MARCH_COM_FMM1.zip
Программа: Foreign Materials Management Module 2: Types of Foreign Materials E-Learning,scorm,Foreign Materials Management Module 2: Types of Foreign Material,21MARCH_COM_FMM2.zip
Программа: Foreign Materials Management Module 3: Prevention and Control E-Learning,scorm,Foreign Materials Management Module 3: Prevention and Control,21MARCH_COM_FMM3.zip
"Программа: Foreign Materials Management Module 4: Validation, Verification, and Monitoring E-Learning",scorm,"Foreign Materials Management Module 4: Validation, Verification, and Monitoring",21MARCH_COM_FMM4.zip
Программа: Foreign Materials Management Module 5: What Would You Do? E-learning Essential,scorm,Foreign Materials Management Module 5: What Would You Do?,21MARCH_COM_FMM5.zip
Программа: Foreign Materials Management Module 6: Summary E-Learning,scorm,Foreign Materials Management Module 6: Summary,21MARCH_COM_FMM6.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 0: Welcome E-Learning,scorm,"
Welcome Module (English)",19APR_RD_LQAT_WM_EN.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 1: Legal Accountabilities E-Learning,scorm,Module 1: Quality Legal Accountabilities (English),19APR_RD_LQAT_QLA_EN.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 2: Accountabilities Matrix E-Learning,scorm,Module 2: Quality Accountabilities Matrix (English),19APR_RD_LQAT_QAM_EN.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 3: My Quality Health Check E-Learning,scorm,"
Module 3: My Quality Health Check (English)",19APR_RD_LQAT_MQHC_EN.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 4: Mars Quality Standards E-Learning,scorm,Module 4: Mars Quality Standards (English),19APR_RD_LQAT_MQS_EN.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 5: Site Visit Checklist E-Learning,scorm,Module 5: Site Visit Checklist (English),19APR_RD_LQAT_SVC_EN.zip
Программа: Leadership Quality Accountability Toolkit (for Senior Leaders only) Module 6: Additional Resources E-Learning,scorm,"
Module 6: Additional Resources (English)",19APR_RD_LQAT_AR_EN.zip
Category Essential ONE Pager,Презентация,Category Essential ONE Pager,Category Essentials Infographic FINAL.pdf
"E-learning на основе книги Джима Кэмпа ""Сначала скажите нет""",scorm,"E-learning на основе книги Джима Кэмпа ""Сначала скажите нет""",Переговоры. 11 правил Кэмпа.zip
Shopper психология:как устроен наш мозг? Mars Petcare E-learning,scorm,Shopper психология:как устроен наш мозг? Mars Petcare,Shopper e-learning_Dual System Theory.pdf
Видеотренажер по технике работы с возражениями E-learning,scorm,Видеотренажер по технике работы с возражениями,МОРОЗ видео диалог.zip
